"Source Url","Headline","Description"
"https://www.seo.org/","#MesdelosNidos. La vida en el interior de una caja nido: construir e incubar",""
"https://www.seo.org/","EN DIRECTO: La hembra de halcón ya incuba cuatro huevos",""
"https://www.seo.org/","Somos finalistas en los Premios Natura 2000 de la Comisión Europea","El proyecto Life+ Activa tu auténtica riqueza. Red Natura 2000, de SEO/BirdLife y la Agencia EFE, es finalista en la categoría de comunicación de los premios Natura 2000.;Tras cuatro años de trabajo para impulsar el conocimiento de la..."
"https://www.seo.org/","El 44% de los ríos de España están en mal estado ecológico","El 44% de los ríos de España están en mal estado ecológico, según la información de los propios planes hidrológicos. El porcentaje podría ser mayor, si España evaluase la situación de los entornos fluviales de acuerdo con los indicadores qu..."
"https://www.seo.org/","#MesdelosNidos: el reto de construir una casa en el jardín","¡Segunda semana del #MesdelosNidos! Un buen momento para pasar a la acción. Y lo hacemos mostrando cómo se construye y coloca la caja nido que probablemente resulta idónea para la mayoría de los seguidores de nuestra campaña, tanto por el a..."
"https://www.seo.org/","Cerca de 90 colectivos analizarán los niveles de basuraleza en ríos y humedales","Arranca ‘1m2 por los ríos, embalses y pantanos’, que se desarrollará hasta el 18 de marzo con batidas de recogida de datos y limpieza organizados por asociaciones, empresas y colectivos constituidos del ámbito medioambiental, cultural, vec..."
"https://www.seo.org/","SEO/BirdLife apoya las reivindicaciones de la Huelga Feminista","SEO/BirdLife, como organización comprometida con la conservación de la biodiversidad, manifiesta su apoyo a las reivindicaciones que han impulsado la Huelga Feminista convocada para mañana, 8 de marzo, con motivo del Día Internacional de la Mujer..."
"https://www.seo.org/","Las mujeres defienden la conservación de los manglares en Nigeria","Un grupo de mujeres en el sudeste de Nigeria está empoderando a numerosas mujeres de la región y a toda una comunidad para proteger los bosques de manglares extremadamente productivos, pero en vías de desaparición, que brindan abundantes servic..."
"https://www.seo.org/","Marzo es el #MesdelosNidos","Marzo es un mes crucial en la reproducción de las aves, cuando buscan lugares apropiados para hacer sus nidos, algo que cada vez les resulta más difícil en las ciudades. Para ayudarlas, lanzamos la campaña #MesdelosNidos, en la que..."
"https://www.seo.org/","Fin a las primaveras silenciosas","Es cierto que las mujeres hemos sido silenciadas durante siglos, casi tantos como el ser humano viene sometiendo al mundo natural. Pero a día de hoy, nosotras hemos logrado cierta unión e incluso un éxito relativo en algunos de nuestros planteamie..."
"https://www.seo.org/","Consideramos un despropósito la regulación presentada por el Ministerio para hacer frente a las sequías","El Ministerio de Agricultura, Pesca, Alimentación y Medio Ambiente (Mapama) acaba de cerrar el periodo de consulta pública de la Instrucción Técnica para elaborar los planes especiales de sequía.;SEO/BirdLife critica que con estas instruccion..."
"https://www.seo.org/","Nos preocupa el aumento de solicitudes para transformaciones en regadío dentro de espacios protegidos para las aves esteparias","Buena parte de las más de 600 Zonas de Especial Protección para las Aves (ZEPA) del territorio español llegaron a convertirse en refugio ornitológico gracias a la actividad agrícola y ganadera que se desarrollaba en el lugar. Y es que los cultiv..."
